,Un_Named,Date,Infrastructure_Machineries,Daily_Sales _Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region
0,0,invalid_data,3/15/2025,-0.034463806,3534,35000,1,1,5000.56,CUST00001,Sherrichester
1,1,1/1/2019,Excavators(crawler),0.034463806,80,35,1,1,5000.56,CUST00002,North Ryanstad
2,2,1/1/2019,Loaders (Wheeled),0.034463806,70,35,1,1,5000.56,CUST00003,South Christophermouth
3,3,1/1/2019,Skid Steer Loaders,0.034463806,70,35,1,1,5000.56,CUST00004,Juliashire
4,4,1/1/2019,Compactors,0.034463806,68,35,1,1,5000.56,CUST00005,Davidberg
5,5,1/1/2019,Tele Handlers ,0.034463806,61,35,1,1,5000.56,CUST00006,West Brandonburgh
6,6,1/2/2019,Backhoe Loader,0.038629891,51,35,1,1,5000.56,CUST00007,New Jamie
7,7,1/2/2019,Excavators(crawler),0.038629891,68,35,1,1,5000.56,CUST00008,Stevenshire
8,8,1/2/2019,Loaders (Wheeled),0.038629891,85,35,1,1,5000.56,CUST00009,North Jacquelineville
9,9,1/2/2019,Skid Steer Loaders,0.038629891,64,35,1,1,5000.56,CUST00010,South Justinstad
10,10,,Compactors,0.038629891,75,35,1,1,5000.56,CUST00011,Johnberg
11,11,1/2/2019,Tele Handlers ,0.038629891,79,35,1,1,5000.56,CUST00012,Rodneychester
12,12,1/3/2019,Backhoe Loader,0.025637758,62,35,1,1,5000.56,CUST00013,Port Katelyn
13,13,1/3/2019,Excavators(crawler),0.025637758,85,35,1,1,5000.56,CUST00014,East Sabrinaland
14,14,1/3/2019,Loaders (Wheeled),0.025637758,53,35,1,1,5000.56,CUST00015,Fieldsborough
15,15,1/3/2019,invalid_data,0.025637758,62,35,1,1,5000.56,CUST00016,Kennedyton
16,16,1/3/2019,Compactors,0.025637758,58,35,1,1,5000.56,CUST00017,Grahamfurt
17,17,1/3/2019,Tele Handlers ,0.025637758,66,35,1,1,5000.56,CUST00018,North Rogerstad
18,18,1/4/2019,Backhoe Loader,0.028812108,3562,35000,1,1,5000.56,CUST00019,Hernandezchester
19,19,1/4/2019,Excavators(crawler),0.028812108,80,35,1,1,5000.56,CUST00020,West Amanda
20,20,,Loaders (Wheeled),-0.028812108,56,35,1,1,5000.56,CUST00021,Walshstad
21,21,1/4/2019,Skid Steer Loaders,0.028812108,60,35,1,1,5000.56,CUST00022,Roberthaven
22,22,Compactors,1/4/2019,0.028812108,58,35,1,1,5000.56,CUST00023,South Veronica
23,23,1/4/2019,Tele Handlers ,0.028812108,62,35,1,1,5000.56,CUST00024,Parkerchester
24,24,1/5/2019,Backhoe Loader,0.03216967,78,35,1,1,5000.56,CUST00025,Michaeltown
25,25,3/15/2025,Excavators(crawler),0.03216967,60,35,1,1,5000.56,CUST00026,Lake Bryanberg
26,26,1/5/2019,Loaders (Wheeled),0.03216967,61,35,1,1,5000.56,CUST00027,Michaelport
27,27,1/5/2019,Skid Steer Loaders,0.03216967,73,35,1,1,5000.56,CUST00028,Lake Craig
28,28,1/5/2019,Compactors,0.03216967,74,35,1,1,5000.56,CUST00029,Mariomouth
29,29,1/5/2019,Tele Handlers ,0.03216967,76,35,1,1,5000.56,CUST00030,East Courtneyhaven
30,30,,invalid_data,0.030429155,71,35,1,1,5000.56,CUST00031,North Marychester
31,31,1/6/2019,Excavators(crawler),0.030429155,77,35,1,1,5000.56,CUST00032,Luisview
32,32,1/6/2019,Loaders (Wheeled),0.030429155,63,35,1,1,5000.56,CUST00033,South Nathanchester
33,33,1/6/2019,Skid Steer Loaders,0.030429155,72,35,1,1,5000.56,CUST00034,Josephmouth
