Date,Infrastructure_Machineries,Daily_Sales _Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region
2019-01-01,Backhoe Loader,-0.034463806,3534,35000,1,1,5000.56,CUST00001,Sherrichester
2019-01-01,Excavators(crawler),0.034463806,80,35,1,1,5000.56,CUST00002,North Ryanstad
2019-01-01,Loaders (Wheeled),0.034463806,70,35,1,1,5000.56,CUST00003,South Christophermouth
2019-01-01,Skid Steer Loaders,0.034463806,70,35,1,1,5000.56,CUST00004,Juliashire
2019-01-01,Compactors,0.034463806,68,35,1,1,5000.56,CUST00005,Davidberg
2019-01-01,Tele Handlers ,0.034463806,61,35,1,1,5000.56,CUST00006,West Brandonburgh
2019-01-02,Backhoe Loader,0.038629891,51,35,1,1,5000.56,CUST00007,New Jamie
2019-01-02,Excavators(crawler),0.038629891,68,35,1,1,5000.56,CUST00008,Stevenshire
2019-01-02,Loaders (Wheeled),0.038629891,85,35,1,1,5000.56,CUST00009,North Jacquelineville
2019-01-02,Skid Steer Loaders,0.038629891,64,35,1,1,5000.56,CUST00010,South Justinstad
2019-01-02,Compactors,0.038629891,75,35,1,1,5000.56,CUST00011,Johnberg
2019-01-02,Tele Handlers ,0.038629891,79,35,1,1,5000.56,CUST00012,Rodneychester
2019-01-03,Backhoe Loader,0.025637758,62,35,1,1,5000.56,CUST00013,Port Katelyn
2019-01-03,Excavators(crawler),0.025637758,85,35,1,1,5000.56,CUST00014,East Sabrinaland
2019-01-03,Loaders (Wheeled),0.025637758,53,35,1,1,5000.56,CUST00015,Fieldsborough
2019-01-03,Skid Steer Loaders,0.025637758,62,35,1,1,5000.56,CUST00016,Kennedyton
2019-01-03,Compactors,0.025637758,58,35,1,1,5000.56,CUST00017,Grahamfurt
2019-01-03,Tele Handlers ,0.025637758,66,35,1,1,5000.56,CUST00018,North Rogerstad
2019-01-04,Backhoe Loader,0.028812108,3562,35000,1,1,5000.56,CUST00019,Hernandezchester
2019-01-04,Excavators(crawler),0.028812108,80,35,1,1,5000.56,CUST00020,West Amanda
2019-01-04,Loaders (Wheeled),-0.028812108,56,35,1,1,5000.56,CUST00021,Walshstad
2019-01-04,Skid Steer Loaders,0.028812108,60,35,1,1,5000.56,CUST00022,Roberthaven
2019-01-04,Compactors,0.028812108,58,35,1,1,5000.56,CUST00023,South Veronica
2019-01-04,Tele Handlers ,0.028812108,62,35,1,1,5000.56,CUST00024,Parkerchester
2019-01-05,Backhoe Loader,0.03216967,78,35,1,1,5000.56,CUST00025,Michaeltown
2019-01-05,Excavators(crawler),0.03216967,60,35,1,1,5000.56,CUST00026,Lake Bryanberg
2019-01-05,Loaders (Wheeled),0.03216967,61,35,1,1,5000.56,CUST00027,Michaelport
2019-01-05,Skid Steer Loaders,0.03216967,73,35,1,1,5000.56,CUST00028,Lake Craig
2019-01-05,Compactors,0.03216967,74,35,1,1,5000.56,CUST00029,Mariomouth
2019-01-05,Tele Handlers ,0.03216967,76,35,1,1,5000.56,CUST00030,East Courtneyhaven
2019-01-05,Backhoe Loader,0.030429155,71,35,1,1,5000.56,CUST00031,North Marychester
2019-01-06,Excavators(crawler),0.030429155,77,35,1,1,5000.56,CUST00032,Luisview
2019-01-06,Loaders (Wheeled),0.030429155,63,35,1,1,5000.56,CUST00033,South Nathanchester
2019-01-06,Skid Steer Loaders,0.030429155,72,35,1,1,5000.56,CUST00034,Josephmouth
2019-01-06,Compactors,0.030429155,64,35,1,1,5000.56,CUST00035,Kimberlymouth
2019-01-06,Tele Handlers ,0.030429155,54,35,1,1,5000.56,CUST00036,Paceton
2019-01-07,Backhoe Loader,0.032918451,3562,35000,1,1,5000.56,CUST00037,Martinezton
2019-01-07,Excavators(crawler),0.032918451,86,35,1,1,5000.56,CUST00038,Scottborough
2019-01-07,Loaders (Wheeled),0.032918451,69,35,1,1,5000.56,CUST00039,Jimenezberg
2019-01-07,Skid Steer Loaders,0.032918451,78,35,1,1,5000.56,CUST00040,Turnerland
2019-01-07,Compactors,-0.032918451,25,35,1,1,5000.56,CUST00041,West Colton
2019-01-07,Tele Handlers ,0.032918451,62,35,1,1,5000.56,CUST00042,Deanport
2019-01-08,Backhoe Loader,0.029616648,85,35,1,1,5000.56,CUST00043,New Christopher
2019-01-08,Excavators(crawler),0.029616648,64,35,1,1,5000.56,CUST00044,Kiaraton
2019-01-08,Loaders (Wheeled),0.029616648,77,35,1,1,5000.56,CUST00045,West Kathrynland
2019-01-08,Skid Steer Loaders,0.029616648,63,35,1,1,5000.56,CUST00046,Port Amandashire
2019-01-08,Compactors,0.029616648,63,35,1,1,5000.56,CUST00047,West Denisebury
2019-01-08,Tele Handlers ,0.029616648,66,35,1,1,5000.56,CUST00048,Danielside
2019-01-09,Backhoe Loader,0.024112317,59,35,1,1,5000.56,CUST00049,West Ryanport
2019-01-09,Excavators(crawler),0.024112317,75,35,1,1,5000.56,CUST00050,Dwaynemouth
2019-01-09,Loaders (Wheeled),0.024112317,67,35,1,1,5000.56,CUST00051,Joannafort
2019-01-09,Skid Steer Loaders,0.024112317,72,35,1,1,5000.56,CUST00052,Port Anthonyside
2019-01-09,Compactors,0.024112317,71,35,1,1,5000.56,CUST00053,Alexandertown
2019-01-09,Tele Handlers ,0.024112317,62,35,1,1,5000.56,CUST00054,Lake Jenniferview
2019-01-10,Backhoe Loader,0.0310465,3563,35000,1,1,5000.56,CUST00055,West Rachel
2019-01-10,Excavators(crawler),0.0310465,71,35,1,1,5000.56,CUST00056,Stevenfurt
2019-01-10,Loaders (Wheeled),0.0310465,64,35,1,1,5000.56,CUST00057,New Bradleyport
2019-01-10,Skid Steer Loaders,0.0310465,60,35,1,1,5000.56,CUST00058,Pughstad
2019-01-10,Compactors,0.0310465,58,35,1,1,5000.56,CUST00059,New Alicia
2019-01-10,Tele Handlers ,0.0310465,55,35,1,1,5000.56,CUST00060,Erikville
2019-01-10,Backhoe Loader,-0.037721796,34,35,1,1,5000.56,CUST00061,Doughertyfurt
2019-01-11,Excavators(crawler),0.037721796,81,35,1,1,5000.56,CUST00062,West Carlosshire
2019-01-11,Loaders (Wheeled),0.037721796,74,35,1,1,5000.56,CUST00063,Danielfort
2019-01-11,Skid Steer Loaders,0.037721796,73,35,1,1,5000.56,CUST00064,South Alyssaburgh
2019-01-11,Compactors,0.037721796,76,35,1,1,5000.56,CUST00065,West Elizabeth
2019-01-11,Tele Handlers ,0.037721796,50,35,1,1,5000.56,CUST00066,North Keithfort
2019-01-12,Backhoe Loader,0.035710445,77,35,1,1,5000.56,CUST00067,Wadetown
2019-01-12,Excavators(crawler),0.035710445,70,35,1,1,5000.56,CUST00068,Meganland
2019-01-12,Loaders (Wheeled),0.035710445,69,35,1,1,5000.56,CUST00069,East Chris
2019-01-12,Skid Steer Loaders,0.035710445,69,35,1,1,5000.56,CUST00070,Lake Natasha
2019-01-12,Compactors,0.035710445,74,35,1,1,5000.56,CUST00071,New Jacob
2019-01-12,Tele Handlers ,0.035710445,71,35,1,1,5000.56,CUST00072,New Johnberg
2019-01-13,Backhoe Loader,0.028760331,3573,35000,1,1,5000.56,CUST00073,Gainesbury
2019-01-13,Excavators(crawler),0.028760331,68,35,1,1,5000.56,CUST00074,Annaburgh
2019-01-13,Loaders (Wheeled),0.028760331,55,35,1,1,5000.56,CUST00075,Lake Jessemouth
2019-01-13,Skid Steer Loaders,0.028760331,75,35,1,1,5000.56,CUST00076,Kathleenmouth
2019-01-13,Compactors,0.028760331,52,35,1,1,5000.56,CUST00077,Richardsonland
2019-01-13,Tele Handlers ,0.028760331,59,35,1,1,5000.56,CUST00078,South Devinton
2019-01-14,Backhoe Loader,0.026968037,75,35,1,1,5000.56,CUST00079,Brownfurt
2019-01-14,Excavators(crawler),0.026968037,75,35,1,1,5000.56,CUST00080,New Jeremiah
2019-01-14,Loaders (Wheeled),-0.026968037,44,35,1,1,5000.56,CUST00081,Jamestown
2019-01-14,Skid Steer Loaders,0.026968037,71,35,1,1,5000.56,CUST00082,Port Feliciabury
2019-01-14,Compactors,0.026968037,55,35,1,1,5000.56,CUST00083,Port Ronaldshire
2019-01-14,Tele Handlers ,0.026968037,59,35,1,1,5000.56,CUST00084,Kellyfort
2019-01-15,Backhoe Loader,0.030620333,71,35,1,1,5000.56,CUST00085,Singletonchester
2019-01-15,Excavators(crawler),0.030620333,86,35,1,1,5000.56,CUST00086,Alexandramouth
2019-01-15,Loaders (Wheeled),0.030620333,62,35,1,1,5000.56,CUST00087,Trevorton
2019-01-15,Skid Steer Loaders,0.030620333,55,35,1,1,5000.56,CUST00088,Port Tabitha
2019-01-15,Compactors,0.030620333,74,35,1,1,5000.56,CUST00089,Thomashaven
2019-01-15,Tele Handlers ,0.030620333,64,35,1,1,5000.56,CUST00090,Lewisbury
2019-01-15,Backhoe Loader,0.032464403,3555,35000,1,1,5000.56,CUST00091,Alexanderport
2019-01-16,Excavators(crawler),0.032464403,46,35,1,1,5000.56,CUST00092,Port Jennaborough
2019-01-16,Loaders (Wheeled),0.032464403,84,35,1,1,5000.56,CUST00093,East Carl
2019-01-16,Skid Steer Loaders,0.032464403,69,35,1,1,5000.56,CUST00094,Annaberg
2019-01-16,Compactors,0.032464403,85,35,1,1,5000.56,CUST00095,Walkershire
2019-01-16,Tele Handlers ,0.032464403,67,35,1,1,5000.56,CUST00096,East Andreamouth
2019-01-17,Backhoe Loader,0.0378373,73,35,1,1,5000.56,CUST00097,Port Seanburgh
2019-01-17,Excavators(crawler),0.0378373,80,35,1,1,5000.56,CUST00098,Port Darrenmouth
2019-01-17,Loaders (Wheeled),0.0378373,46,35,1,1,5000.56,CUST00099,Jessicabury
2019-01-17,Skid Steer Loaders,0.0378373,72,35,1,1,5000.56,CUST00100,Port Margaret
2019-01-17,Compactors,-0.0378373,39,35,1,1,5000.56,CUST00101,South Jamieside
2019-01-17,Tele Handlers ,0.0378373,71,35,1,1,5000.56,CUST00102,East Dustinville
2019-01-18,Backhoe Loader,0.03203027,72,35,1,1,5000.56,CUST00103,East Dominique
2019-01-18,Excavators(crawler),0.03203027,69,35,1,1,5000.56,CUST00104,East Lawrenceside
2019-01-18,Loaders (Wheeled),0.03203027,78,35,1,1,5000.56,CUST00105,New Linda
2019-01-18,Skid Steer Loaders,0.03203027,54,35,1,1,5000.56,CUST00106,Cainberg
2019-01-18,Compactors,0.03203027,70,35,1,1,5000.56,CUST00107,Lewismouth
2019-01-18,Tele Handlers ,0.03203027,74,35,1,1,5000.56,CUST00108,North Kristen
2019-01-19,Backhoe Loader,0.029959176,3553,35000,1,1,5000.56,CUST00109,Port Emilyshire
2019-01-19,Excavators(crawler),0.029959176,71,35,1,1,5000.56,CUST00110,Port Chad
2019-01-19,Loaders (Wheeled),0.029959176,77,35,1,1,5000.56,CUST00111,North Sharishire
2019-01-19,Skid Steer Loaders,0.029959176,71,35,1,1,5000.56,CUST00112,East Douglashaven
2019-01-19,Compactors,0.029959176,62,35,1,1,5000.56,CUST00113,Brianmouth
2019-01-19,Tele Handlers ,0.029959176,46,35,1,1,5000.56,CUST00114,Port Brentfurt
2019-01-20,Backhoe Loader,0.034874042,84,35,1,1,5000.56,CUST00115,West Williamside
2019-01-20,Excavators(crawler),0.034874042,76,35,1,1,5000.56,CUST00116,Silvashire
2019-01-20,Loaders (Wheeled),0.034874042,63,35,1,1,5000.56,CUST00117,Robertland
2019-01-20,Skid Steer Loaders,0.034874042,48,35,1,1,5000.56,CUST00118,New Reginaport
2019-01-20,Compactors,0.034874042,84,35,1,1,5000.56,CUST00119,Timothyberg
2019-01-20,Tele Handlers ,0.034874042,75,35,1,1,5000.56,CUST00120,Port Gregory
2019-01-20,Backhoe Loader,-0.02726277,46,35,1,1,5000.56,CUST00121,South Denisehaven
2019-01-21,Excavators(crawler),0.02726277,65,35,1,1,5000.56,CUST00122,Mossfurt
2019-01-21,Loaders (Wheeled),0.02726277,53,35,1,1,5000.56,CUST00123,Amychester
2019-01-21,Skid Steer Loaders,0.02726277,63,35,1,1,5000.56,CUST00124,New Barbarabury
2019-01-21,Compactors,0.02726277,64,35,1,1,5000.56,CUST00125,Vegaborough
2019-01-21,Tele Handlers ,0.02726277,65,35,1,1,5000.56,CUST00126,Kathrynburgh
2019-01-22,Backhoe Loader,0.029110823,3566,35000,1,1,5000.56,CUST00127,South Dustinshire
2019-01-22,Excavators(crawler),0.029110823,70,35,1,1,5000.56,CUST00128,Lake Brian
2019-01-22,Loaders (Wheeled),0.029110823,74,35,1,1,5000.56,CUST00129,West Joseph
2019-01-22,Skid Steer Loaders,0.029110823,65,35,1,1,5000.56,CUST00130,East Michelleland
2019-01-22,Compactors,0.029110823,56,35,1,1,5000.56,CUST00131,North Samanthafurt
2019-01-22,Tele Handlers ,0.029110823,79,35,1,1,5000.56,CUST00132,Riosmouth
